PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_num,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,0,0.7119453650967104,0,-0.35292955903944406,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,0,-1.1866270733051474,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0002_01,0,-0.33403748485524115,0,-0.1884543296241114,-0.2816690812340509,-0.24896783145919726,0.21150529737228824,-0.2301943200865136,1,-1.1866270733051474,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0003_01,0,2.0368569750358487,1,-0.28804483550862475,1.9556157450734089,-0.290817025018365,5.694289132961069,-0.22578201240107706,0,-1.1866270733051474,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0003_02,0,0.29355222511592977,0,-0.35292955903944406,0.5174060151258325,0.3302250073996842,2.6834707633043045,-0.09870755106050415,0,-1.1866270733051474,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0004_01,0,-0.8918950048296153,0,0.10428139979400357,-0.2434088136689387,-0.03804789592099188,0.2257324367445588,-0.26725770464418075,1,-1.1846505726872163,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0005_01,0,1.0606063150806941,0,-0.35292955903944406,0.01563201427190259,-0.290817025018365,-0.017907325005575153,-0.26902262771835533,1,-1.1866270733051474,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0006_01,0,-0.19457310486164758,0,-0.289553782567481,0.67797369539909,-0.2857951217912649,-0.27666342233874663,-0.26902262771835533,1,-1.182674072069285,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0006_02,1,-0.05510872486805407,0,-0.35292955903944406,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-1.0032426156241308e-16,1,-1.1866270733051474,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0007_01,0,0.4330166051095233,0,-0.35292955903944406,0.20505169959426112,-0.26235957339813093,-0.08459704081309358,-0.26902262771835533,1,-1.180697571451354,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0008_01,1,-1.0313593848232088,0,-0.35292955903944406,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,1,-1.1846505726872163,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0008_02,1,0.3632844151127265,0,-0.35292955903944406,-0.2873140387436576,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,1,-1.1846505726872163,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0008_03,0,1.130338505077491,0,-0.2940806237440498,4.288237631543115,0.6951499752356269,-0.1788518391543863,-0.15959739711952867,1,-1.1846505726872163,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0009_01,0,0.22382003511913298,0,-0.24277642374293687,-0.2873140387436576,1.5890487496594499,-0.27666342233874663,-0.1693044740274891,1,-1.1846505726872163,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0010_01,0,1.3395350750678812,0,0.7320033762782089,-0.28668682124259015,-0.18200912176452888,-0.27666342233874663,-0.24784355082825987,0,-1.1846505726872163,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0011_01,0,-0.05510872486805407,0,-0.34085798256859395,0.32359580729600207,-0.2707294121099645,-0.2748850299172128,-0.26284539695874415,1,-1.182674072069285,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0012_01,0,0.15408784512233623,0,-0.3046432531560436,-0.2873140387436576,1.1755787172948726,-0.27666342233874663,-0.26902262771835533,0,2.2470210500740824e-16,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0014_01,0,-0.12484091486485083,0,1.5875763586497098,-0.21079350361343327,4.7577024769416013e-17,-0.27666342233874663,-0.26902262771835533,0,-1.180697571451354,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0015_01,0,-0.33403748485524115,0,-0.35292955903944406,-0.28668682124259015,-0.290817025018365,-0.27666342233874663,0.29310537140626236,0,-1.1787210708334228,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0016_01,1,1.130338505077491,0,-0.35292955903944406,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,1,-1.1767445702154917,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0017_01,0,-2.0076100447783634,0,-0.35292955903944406,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,1,-1.1866270733051474,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0017_02,0,-1.0313593848232088,0,0.2687566292093362,-0.2873140387436576,-0.2891430572759983,-0.27666342233874663,0.33016875596392947,0,-1.1747680695975606,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0020_01,1,-1.9378778547815667,0,-0.35292955903944406,-0.2873140387436576,-0.290817025018365,-0.27666342233874663,-0.26902262771835533,0,-1.1866270733051474,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
